adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-serif-jp-fonts 2.003-1
alvr 20.13.0-1
amd-ucode 20250708-1
baobab 48.0-4
base 3-2
base-devel 1-2
blueman 2.4.6-1
bluez-obex 5.83-1
bluez-utils 5.83-1
bridge-utils 1.7.1-2
btrfs-progs 6.15-1
chromium 139.0.7258.66-1
cuda 12.9.1-2
debtap 3.5.1-1
dnsmasq 2.91-1
efibootmgr 18-3
epiphany 48.5-1
evince 48.1-1
fcitx5 5.1.14-1
fcitx5-configtool 5.1.10-1
fcitx5-gtk 5.1.4-1
fcitx5-mozc 2.31.5810.102.gb091429-1
fcitx5-qt 5.1.10-1
firefox 141.0.3-1
fzf 0.65.1-1
gcc-fortran 15.1.1+r500+gb1b8d8ce3eea-1
gdm 48.0-2
ghostty 1.1.3-1
git 2.50.1-3
github-cli 2.76.2-1
gnome-backgrounds 48.2.1-1
gnome-calculator 48.1-2
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-connections 48.0-6
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.4-1
gnome-disk-utility 46.1-2
gnome-font-viewer 48.0-1
gnome-keyring 1:48.0-1
gnome-logs 45.0-3
gnome-maps 48.6-1
gnome-menus 3.36.0-3
gnome-music 1:48.0-2
gnome-remote-desktop 48.1-1
gnome-session 48.0-1
gnome-settings-daemon 48.1-1
gnome-shell 1:48.4-1
gnome-shell-extensions 48.3-2
gnome-software 48.4-1
gnome-system-monitor 48.1-1
gnome-text-editor 48.3-1
gnome-tour 48.1-1
gnome-tweaks 46.1-2
gnome-user-docs 48.2-1
gnome-user-share 48.1-1
gnome-weather 48.0-2
google-chrome 138.0.7204.100-1
grilo-plugins 1:0.3.18-1
gst-plugin-pipewire 1:1.4.7-1
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-smb 1.57.2-4
helix 25.07.1-1
htop 3.4.1-1
iwd 3.9-1
lapack 3.12.1-2
less 1:679-1
libpulse 17.0+r43+g3e2bb8a1e-1
linux 6.15.9.arch1-1
linux-firmware 20250708-1
linux-headers 6.15.9.arch1-1
localsearch 3.9.0-3
loupe 48.1-1
malcontent 0.13.0-1
man-db 2.13.1-1
mission-center 1.0.2-1
mpv 1:0.40.0-5
nano 8.5-1
nautilus 48.3-1
noto-fonts 1:2025.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-extra 1:2025.08.01-1
nvidia 575.64.05-4
nvidia-utils 575.64.05-2
nvtop 3.2.0-1
ollama 0.11.4-1
ollama-cuda 0.11.4-1
openblas 0.3.30-1
openbsd-netcat 1.229_1-2
openssh 10.0p1-4
orca 48.6-1
otf-ipafont 003.03-9
overskride 0.6.2-1
pass 1.7.4-7
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pyenv 1:2.6.5-1
python-pip 25.2-1
qemu-full 10.0.3-1
rygel 1:0.44.2-3
shairport-sync 4.3.5-4
simple-scan 48.1-1
smartmontools 7.5-1
snapd 2.70-1
snapshot 48.0.1-1
steam 1.0.0.82-2
sushi 46.0-2
tecla 48.0.2-1
tigervnc 1.15.0-3
tmux 3.5_a-1
totem 43.2-2
usbutils 018-1
vde2 2.3.3-8
vim 9.1.1623-1
virt-manager 5.0.0-1
virt-viewer 11.0-4
visual-studio-code-bin 1.102.0-1
vlc 3.0.21-27
wget 1.25.0-2
wine 10.12-1
winetricks 20250102-1
wireless_tools 30.pre9-4
wireplumber 0.5.10-1
wpa_supplicant 2:2.11-3
xclip 0.13-6
xdg-desktop-portal-gnome 48.0-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xsel 1.2.1-2
yay 12.5.0-1
yelp 42.3-1
zram-generator 1.2.1-1
zsh 5.9-5
